date,code,side,shares,price,commission,realized_pnl
2017-05-02,45970,buy,100,492.49199999999996,27.08706,
2017-05-08,70130,buy,200,391.39099999999996,43.05301,
2017-05-09,59890,buy,100,1636.6349999999998,90.01492499999999,
2017-05-11,36320,buy,100,881.8809999999999,48.503454999999995,
2017-05-11,59890,sell,100,1332.666,73.29663000000001,-30470.196629999984
2017-05-15,36670,buy,100,922.9219999999999,50.76071,
2017-05-15,45970,sell,100,545.454,29.999969999999998,5266.200029999999
2017-05-16,18600,buy,100,714.7139999999999,39.30927,
2017-05-16,70130,sell,200,420.579,46.263690000000004,5791.33631000001
2017-05-18,40050,buy,100,610.6099999999999,33.583549999999995,
2017-05-25,36670,sell,100,1138.86,62.637299999999996,21531.16269999999
2017-05-25,36320,sell,100,902.097,49.615335,1971.9846650000122
2017-05-26,40050,sell,100,594.405,32.692275,-1653.1922749999928
2017-05-30,67530,buy,200,415.41499999999996,45.69565,
2017-05-31,43550,buy,100,683.6829999999999,37.602565,
2017-06-01,69970,buy,200,398.39799999999997,43.82378,
2017-06-02,18600,sell,100,695.304,38.24172,-1979.2417199999968
2017-06-07,67530,sell,200,406.593,44.72523,-1809.1252300000006
2017-06-08,43550,sell,100,698.301,38.406555000000004,1423.3934450000165
2017-06-09,18960,buy,100,940.9399999999999,51.7517,
2017-06-13,69970,sell,200,417.582,45.93402,3790.865980000005
2017-06-19,18960,sell,100,937.062,51.53841,-439.3384100000043
2017-06-27,47770,buy,100,550.55,30.28025,
2017-06-29,19440,buy,100,1765.764,97.11702,
2017-06-29,47770,sell,100,498.501,27.417555,-5232.317554999998
2017-07-06,18240,buy,100,1288.2869999999998,70.855785,
2017-07-06,38650,buy,100,855.8549999999999,47.072025,
2017-07-07,19440,sell,100,1826.172,100.43946000000001,5940.360540000013
2017-07-10,18120,buy,100,965.9649999999999,53.128074999999995,
2017-07-11,53930,buy,100,1349.348,74.21414,
2017-07-12,22810,buy,100,694.694,38.20817,
2017-07-13,22810,buy,100,689.689,37.932895,
2017-07-14,18610,buy,200,380.37999999999994,41.84179999999999,
2017-07-14,92020,buy,200,397.09669999999994,43.68063699999999,
2017-07-14,38650,sell,100,830.169,45.659295,-2614.259294999992
2017-07-14,18240,sell,100,1338.66,73.6263,4963.673700000028
2017-07-19,18120,sell,100,956.043,52.582365,-1044.7823649999798
2017-07-21,53930,sell,100,1382.616,76.04388,3250.7561200000027
2017-07-24,22810,sell,200,705.294,77.58234,2542.9176600000155
2017-07-25,77070,buy,100,910.9099999999999,50.100049999999996,
2017-07-25,92020,sell,200,389.61,42.8571,-1540.1970999999742
2017-07-26,92330,buy,100,1032.031,56.761705,
2017-07-26,18610,sell,200,390.609,42.96699,2002.8330100000085
2017-07-31,75190,buy,100,502.50199999999995,27.63761,
2017-08-01,77070,sell,100,796.203,43.79116500000001,-11514.491164999989
2017-08-01,92330,sell,100,917.082,50.43951,-11545.339509999996
2017-08-04,80290,buy,300,305.30499999999995,50.375325,
2017-08-08,75190,sell,100,489.51,26.92305,-1326.1230499999963
2017-08-14,55630,buy,100,443.4429999999999,24.389364999999998,
2017-08-14,68440,buy,100,638.6379999999999,35.12508999999999,
2017-08-14,80290,sell,300,353.646,58.35159,14443.948410000019
2017-08-22,55630,sell,100,424.575,23.351625000000002,-1910.1516249999995
2017-08-22,68440,sell,100,689.31,37.91205,5029.287950000003
2017-08-30,38450,buy,100,494.49399999999997,27.19717,
2017-08-31,38450,sell,100,406.593,22.362615,-8812.46261499999
2017-09-21,75190,buy,200,721.7209999999999,79.38931,
2017-09-28,75190,sell,200,661.338,72.74718000000001,-12149.347179999984
2017-11-08,18210,buy,100,723.723,39.804764999999996,
2017-11-14,18210,sell,100,652.347,35.879085,-7173.479084999985
2017-11-22,31030,buy,100,854.8539999999999,47.01697,
2017-12-29,66290,buy,100,538.5379999999999,29.619589999999995,
2018-01-04,31030,sell,100,827.172,45.494460000000004,-2813.69445999999
2018-01-12,66290,sell,100,553.446,30.439530000000005,1460.3604700000128
2018-02-05,24530,buy,100,880.8799999999999,48.44839999999999,
2018-02-07,24530,sell,100,789.21,43.40655,-9210.406549999985
2018-03-14,67070,buy,100,858.858,47.23719,
2018-03-15,48240,buy,100,917.9169999999999,50.485435,
2018-03-22,99720,buy,200,425.42499999999995,46.796749999999996,
2018-03-23,67070,sell,100,772.227,42.472485,-8705.572484999986
2018-03-26,99720,sell,200,371.628,40.879079999999995,-10800.279079999995
2018-04-03,48240,sell,100,1096.902,60.32961000000001,17838.170390000014
2018-04-05,29290,buy,100,808.8079999999999,44.48444,
2018-04-10,29290,sell,100,749.25,41.20875,-5997.008749999988
2018-05-01,86980,buy,100,637.637,35.070035,
2018-05-01,66340,buy,100,583.583,32.097065,
2018-05-10,88930,buy,200,459.45899999999995,50.54049,
2018-05-15,17190,buy,100,896.896,49.32928,
2018-05-16,18210,buy,100,672.6719999999999,36.99696,
2018-05-16,88930,sell,200,403.596,44.39556,-11216.995559999988
2018-05-16,66340,sell,100,549.45,30.219750000000005,-3443.5197499999927
2018-05-16,86980,sell,100,676.323,37.197765000000004,3831.4022350000037
2018-05-21,50200,buy,100,763.9631999999999,42.017976,
2018-05-23,95010,buy,100,558.558,30.720690000000005,
2018-05-23,17190,sell,100,923.076,50.769180000000006,2567.230820000006
2018-05-28,61770,buy,100,885.8849999999999,48.72367499999999,
2018-05-29,50200,sell,100,691.6076999999999,38.03842349999999,-7273.588423500001
2018-06-01,95010,sell,100,508.491,27.967005,-5034.667005000001
2018-06-01,18210,sell,100,722.277,39.72523500000001,4920.774765000002
2018-06-05,61770,sell,100,1143.855,62.91202500000001,25734.087975000013
2018-06-13,24370,buy,100,553.5529999999999,30.445414999999997,
2018-06-14,95010,buy,100,518.5179999999999,28.518489999999996,
2018-06-18,21440,buy,100,681.6809999999999,37.492455,
2018-06-19,24370,sell,100,492.507,27.087885,-6131.687884999988
2018-06-20,93990,buy,100,650.65,35.78575,
2018-06-21,93990,sell,100,529.47,29.12085,-12147.120849999994
2018-06-22,95010,sell,100,509.49,28.02195,-930.8219499999906
2018-06-27,21440,sell,100,558.441,30.714255000000005,-12354.71425499999
2018-07-20,18210,buy,100,814.814,44.81477,
2018-07-23,95010,buy,100,512.512,28.18816,
2018-07-26,27680,buy,200,410.40999999999997,45.1451,
2018-07-26,54800,buy,200,333.33299999999997,36.66663,
2018-07-30,65020,buy,200,342.342,37.65762,
2018-07-31,50200,buy,100,821.1202999999998,45.161616499999994,
2018-07-31,95010,sell,100,537.462,29.56041,2465.4395900000045
2018-08-02,80020,buy,100,874.7738999999999,48.1125645,
2018-08-03,27680,sell,200,405.594,44.61534,-1007.8153400000062
2018-08-06,54800,sell,200,339.66,37.3626,1228.037400000011
2018-08-09,18210,sell,100,795.204,43.73622,-2004.7362200000014
2018-08-10,80020,sell,100,918.3806999999999,50.5109385,4310.169061500013
2018-08-10,50200,sell,100,809.19,44.50545,-1237.5354499999762
2018-08-14,65020,sell,200,327.672,36.04392000000001,-2970.043919999992
2018-08-29,65020,buy,200,330.33,36.3363,
2018-08-31,50200,buy,100,800.8,44.044000000000004,
2018-09-04,65020,buy,300,335.335,55.330275,
2018-09-06,65020,buy,100,325.325,17.892875,
2018-09-07,50200,sell,100,724.0752,39.824136,-7712.304135999996
2018-09-10,65020,sell,600,314.685,103.84605,-10491.84605
2018-10-11,33560,buy,100,1133.1319999999998,62.32225999999999,
2018-10-19,33560,sell,100,1648.35,90.65925,51431.14075000001
2018-11-12,95010,buy,100,600.5999999999999,33.033,
2018-11-15,95090,buy,100,711.7109999999999,39.144104999999996,
2018-11-26,95090,sell,100,766.233,42.142815,5410.057185000004
2018-12-20,95010,sell,100,708.291,38.956005000000005,10730.143995000015
2019-01-23,96810,buy,100,925.925,50.925875000000005,
2019-01-25,54230,buy,100,920.9199999999998,50.6506,
2019-01-29,95010,buy,100,728.728,40.08004,
2019-01-31,96810,sell,100,920.079,50.604345,-635.2043450000003
2019-02-01,95010,sell,100,667.332,36.70326,-6176.303259999984
2019-02-04,54230,sell,100,918.081,50.49445500000001,-334.3944549999828
2019-02-14,47550,buy,100,803.8029999999999,44.209165,
2019-02-19,27680,buy,200,418.41799999999995,46.02598,
2019-02-20,87030,buy,100,561.5609999999999,30.885854999999996,
2019-02-25,47550,sell,100,849.15,46.703250000000004,4487.99675000001
2019-02-26,37650,buy,300,311.311,51.366315,
2019-02-27,27680,sell,200,413.586,45.494460000000004,-1011.8944599999874
2019-03-01,87030,sell,100,561.438,30.879089999999998,-43.17908999999336
