date,cash,portfolio_value
2018-03-30,899850.7097995,899850.7097995
2018-04-02,899850.7097995,899850.7097995
2018-04-03,899850.7097995,899850.7097995
2018-04-04,899850.7097995,899850.7097995
2018-04-05,818925.4253595,897625.4253595
2018-04-06,818925.4253595,894725.4253595
2018-04-09,818925.4253595,892425.4253595
2018-04-10,893809.2166095,893809.2166095
2018-04-11,893809.2166095,893809.2166095
2018-04-12,893809.2166095,893809.2166095
2018-04-13,893809.2166095,893809.2166095
2018-04-16,893809.2166095,893809.2166095
2018-04-17,893809.2166095,893809.2166095
2018-04-18,893809.2166095,893809.2166095
2018-04-19,893809.2166095,893809.2166095
2018-04-20,893809.2166095,893809.2166095
2018-04-23,893809.2166095,893809.2166095
2018-04-24,893809.2166095,893809.2166095
2018-04-25,893809.2166095,893809.2166095
2018-04-26,893809.2166095,893809.2166095
2018-04-27,893809.2166095,893809.2166095
2018-05-01,771620.0495095,898520.0495095
2018-05-02,771620.0495095,901620.0495095
2018-05-07,771620.0495095,908020.0495095
2018-05-08,771620.0495095,904620.0495095
2018-05-09,771620.0495095,898620.0495095
2018-05-10,725648.8792645,898848.8792645
2018-05-11,681280.1898995,898180.1898995
2018-05-14,681280.1898995,895680.1898995
2018-05-15,681280.1898995,882480.1898995
2018-05-16,884464.8768244999,884464.8768244999
2018-05-17,884464.8768244999,884464.8768244999
2018-05-18,884464.8768244999,884464.8768244999
2018-05-21,884464.8768244999,884464.8768244999
2018-05-22,884464.8768244999,884464.8768244999
2018-05-23,884464.8768244999,884464.8768244999
2018-05-24,884464.8768244999,884464.8768244999
2018-05-25,884464.8768244999,884464.8768244999
2018-05-28,884464.8768244999,884464.8768244999
2018-05-29,884464.8768244999,884464.8768244999
2018-05-30,884464.8768244999,884464.8768244999
2018-05-31,884464.8768244999,884464.8768244999
2018-06-01,884464.8768244999,884464.8768244999
2018-06-04,884464.8768244999,884464.8768244999
2018-06-05,884464.8768244999,884464.8768244999
2018-06-06,884464.8768244999,884464.8768244999
2018-06-07,884464.8768244999,884464.8768244999
2018-06-08,884464.8768244999,884464.8768244999
2018-06-11,884464.8768244999,884464.8768244999
2018-06-12,884464.8768244999,884464.8768244999
2018-06-13,884464.8768244999,884464.8768244999
